"","CLASS","CLASS_AREA","AREA_SQ_KM","AREA_UNITS","NO_POINTS","WPLUS","S_WPLUS","WMINUS","S_WMINUS","CONTRAST","S_CONTRAST","STUDC","GEN_CLASS","WEIGHT","W_STD"
"1",10,1464.66,1464.66,1464.66,5,-0.886019155369624,0.447978895762513,0.0285754657025182,0.0631376288753182,-0.914594621072142,0.452406289996722,-2.02162224817601,2,0.130792747171432,0.0626717077938004
"2",9,2275.65,3740.31,3740.31,22,-0.339480346541272,0.213830504929249,0.0384096051004122,0.0653748517703972,-0.377889951641684,0.223600885692117,-1.69001992309642,2,0.130792747171432,0.0626717077938004
"3",8,2471.23,6211.54,6211.54,62,0.193503566856249,0.127638732550364,-0.0541588774086961,0.0717091022606089,0.247662444264945,0.146403010194756,1.69164857973539,2,0.130792747171432,0.0626717077938004
"4",7,3203.05,9414.59,9414.59,135,0.560203877735014,0.086690084722503,-0.385773837084196,0.0904212816950683,0.945977714819211,0.125264436184312,7.55184586810667,2,0.130792747171432,0.0626717077938004
"5",6,2970.54,12385.13,12385.13,187,0.612572419636479,0.0736856387755134,-0.791362396794525,0.118901399527403,1.403934816431,0.139882508453811,10.0365287407938,2,0.130792747171432,0.0626717077938004
"6",5,4241.77,16626.9,16626.9,211,0.436354220208396,0.0692838584614669,-0.950687880880738,0.146098986131296,1.38704210108913,0.161694671501263,8.57815590465082,2,0.130792747171432,0.0626717077938004
"7",4,4920.49,21547.39,21547.39,238,0.295869317113512,0.0651813496427075,-1.39816681567492,0.223836163051784,1.69403613278844,0.233133515889478,7.26637749327954,2,0.130792747171432,0.0626717077938004
"8",3,5851.25,27398.64,27398.64,258,0.130792747171432,0.0626717077938004,-3.49127593388469,1.00516498816236,3.62206868105612,1.00711687325018,3.59647303829488,2,0.130792747171432,0.0626717077938004
"9",2,1737.01,29135.65,29135.65,258,0.0687592372252149,0.0626540250602394,-2.90418999741612,1.0052665545793,2.97294923464134,1.00721714273139,2.95164677854791,1,-3.49127593388469,1.00516498816236
"10",1,2175.68,31311.33,31311.33,258,-0.00381270913046867,0.0626346779270061,4.79050174306312,1.42133810903625,-4.79431445219359,1.42271751345015,-3.36982880077661,1,-3.49127593388469,1.00516498816236
